"Player","POS","Team","POS ADP","ADP","Prev ADP","Δ"
"Brock Purdy","QB","San Francisco 49ers","QB12","111.9","113.6","1.7"
"Trey Benson","RB","Arizona Cardinals","RB33","112.7","108.1","-4.6"
"Caleb Williams","QB","Chicago Bears","QB13","113.9","110.8","-3.1"
"Brandin Cooks","WR","Dallas Cowboys","WR56","113.9","117.3","3.4"
"Javonte Williams","RB","Denver Broncos","RB34","114.6","110.5","-4.1"
"Dallas Goedert","TE","Philadelphia Eagles","TE12","115.3","114.7","-0.6"
"Dontayvion Wicks","WR","Green Bay Packers","WR57","116.3","121.7","5.4"
"Gus Edwards","RB","Los Angeles Chargers","RB35","117.1","121.3","4.2"
"Jakobi Meyers","WR","Las Vegas Raiders","WR58","118.0","119.8","1.8"
"Trevor Lawrence","QB","Jacksonville Jaguars","QB14","119.0","118.6","-0.4"
"Adonai Mitchell","WR","Indianapolis Colts","WR59","120.6","116.0","-4.6"
"Blake Corum","RB","Los Angeles Rams","RB36","121.2","117.0","-4.2"
"Ezekiel Elliott","RB","Dallas Cowboys","RB37","121.9","125.6","3.7"
"Jerry Jeudy","WR","Cleveland Browns","WR60","122.8","123.9","1.1"
"Chase Brown","RB","Cincinnati Bengals","RB38","124.5","123.2","-1.3"
"Tua Tagovailoa","QB","Miami Dolphins","QB15","125.4","125.5","0.1"
"Jerome Ford","RB","Cleveland Browns","RB39","126.8","126.1","-0.7"
"Jared Goff","QB","Detroit Lions","QB16","127.0","126.8","-0.2"
"Mike Williams","WR","New York Jets","WR61","129.5","119.4","-10.1"
"Nick Chubb","RB","Cleveland Browns","RB40","130.1","141.6","11.5"
"Austin Ekeler","RB","Washington Commanders","RB41","130.2","129.6","-0.6"
"Dalton Schultz","TE","Houston Texans","TE13","130.4","130.3","-0.1"
"Zach Charbonnet","RB","Seattle Seahawks","RB42","131.5","133.4","1.9"
"Pat Freiermuth","TE","Pittsburgh Steelers","TE14","133.0","133.8","0.8"
"Justin Herbert","QB","Los Angeles Chargers","QB17","133.4","133.4","0.0"
"Gabe Davis","WR","Jacksonville Jaguars","WR62","134.0","132.0","-2.0"
"Josh Downs","WR","Indianapolis Colts","WR63","134.1","131.4","-2.7"
"Ja'Lynn Polk","WR","New England Patriots","WR64","134.6","138.6","4.0"
"Rico Dowdle","RB","Dallas Cowboys","RB43","137.0","140.1","3.1"
"Jahan Dotson","WR","Washington Commanders","WR65","138.5","136.1","-2.4"
"MarShawn Lloyd","RB","Green Bay Packers","RB44","139.1","142.4","3.3"
"Xavier Legette","WR","Carolina Panthers","WR66","141.6","137.7","-3.9"
"Ricky Pearsall","WR","San Francisco 49ers","WR67","143.4","141.2","-2.2"
"Cole Kmet","TE","Chicago Bears","TE15","144.0","144.4","0.4"
"Kendre Miller","RB","New Orleans Saints","RB45","144.8","138.4","-6.4"
"Ty Chandler","RB","Minnesota Vikings","RB46","145.0","143.9","-1.1"
"Kirk Cousins","QB","Atlanta Falcons","QB18","146.6","147.3","0.7"
"Darnell Mooney","WR","Atlanta Falcons","WR68","147.5","148.1","0.6"
"T.J. Hockenson","TE","Minnesota Vikings","TE16","148.1","148.2","0.1"
"Luke Musgrave","TE","Green Bay Packers","TE17","148.6","150.2","1.6"
"Matthew Stafford","QB","Los Angeles Rams","QB19","150.3","152.6","2.3"
"Jermaine Burton","WR","Cincinnati Bengals","WR69","151.0","150.1","-0.9"
"DeMario Douglas","WR","New England Patriots","WR70","152.8","156.6","3.8"
"Quentin Johnston","WR","Los Angeles Chargers","WR71","153.0","149.6","-3.4"
"Jaleel McLaughlin","RB","Denver Broncos","RB47","153.6","153.8","0.2"
"Kimani Vidal","RB","Los Angeles Chargers","RB48","155.6","156.0","0.4"
"Jaylen Wright","RB","Miami Dolphins","RB49","157.3","153.4","-3.9"
"Tyler Allgeier","RB","Atlanta Falcons","RB50","158.2","158.3","0.1"
"Hunter Henry","TE","New England Patriots","TE18","158.7","159.9","1.2"
"Adam Thielen","WR","Carolina Panthers","WR72","160.1","157.2","-2.9"
"Aaron Rodgers","QB","New York Jets","QB20","160.5","161.9","1.4"
"Deshaun Watson","QB","Cleveland Browns","QB21","160.7","162.7","2.0"
"Chuba Hubbard","RB","Carolina Panthers","RB51","162.0","164.3","2.3"
"Noah Fant","TE","Seattle Seahawks","TE19","163.9","176.0","12.1"
"Wan'Dale Robinson","WR","New York Giants","WR73","164.0","166.8","2.8"
"Ray Davis","RB","Buffalo Bills","RB52","166.5","163.5","-3.0"
"Geno Smith","QB","Seattle Seahawks","QB22","167.5","170.5","3.0"
"Antonio Gibson","RB","New England Patriots","RB53","168.0","165.8","-2.2"
"Demarcus Robinson","WR","Los Angeles Rams","WR74","168.1","173.7","5.6"
"Baker Mayfield","QB","Tampa Bay Buccaneers","QB23","169.3","169.3","0.0"
"Rashod Bateman","WR","Baltimore Ravens","WR75","171.0","166.5","-4.5"
"Roman Wilson","WR","Pittsburgh Steelers","WR76","172.9","163.0","-9.9"
"Tyler Conklin","TE","New York Jets","TE20","173.1","177.8","4.7"
"Troy Franklin","WR","Denver Broncos","WR77","173.2","171.7","-1.5"
"Michael Wilson","WR","Arizona Cardinals","WR78","173.5","175.8","2.3"
"J.K. Dobbins","RB","Los Angeles Chargers","RB54","174.7","179.4","4.7"
"Will Levis","QB","Tennessee Titans","QB24","175.9","178.4","2.5"
"Bucky Irving","RB","Tampa Bay Buccaneers","RB55","177.1","175.0","-2.1"
"Elijah Mitchell","RB","San Francisco 49ers","RB56","177.1","180.2","3.1"
"Cade Otton","TE","Tampa Bay Buccaneers","TE21","178.2","176.0","-2.2"
"Malachi Corley","WR","New York Jets","WR79","180.3","172.8","-7.5"
"Marvin Mims Jr.","WR","Denver Broncos","WR80","181.3","179.4","-1.9"
"Isaiah Likely","TE","Baltimore Ravens","TE22","181.7","181.1","-0.6"
"Jonnu Smith","TE","Miami Dolphins","TE23","184.1","189.5","5.4"
"Ben Sinnott","TE","Washington Commanders","TE24","185.9","174.4","-11.5"
"Luke McCaffrey","WR","Washington Commanders","WR81","186.5","184.2","-2.3"
"Khalil Herbert","RB","Chicago Bears","RB57","187.9","186.8","-1.1"
"Braelon Allen","RB","New York Jets","RB58","189.7","187.2","-2.5"
"Jalen McMillan","WR","Tampa Bay Buccaneers","WR82","190.0","188.6","-1.4"
"Chig Okonkwo","TE","Tennessee Titans","TE25","190.3","188.9","-1.4"
"Drake Maye","QB","New England Patriots","QB25","190.6","194.1","3.5"
"Daniel Jones","QB","New York Giants","QB26","191.3","196.8","5.5"
"Tyrone Tracy","RB","New York Giants","RB59","193.1","192.7","-0.4"
"Bryce Young","QB","Carolina Panthers","QB27","194.8","191.7","-3.1"
"Roschon Johnson","RB","Chicago Bears","RB60","196.7","196.6","-0.1"
"Tyler Boyd","WR","Tennessee Titans","WR83","196.8","202.5","5.7"
"Clyde Edwards-Helaire","RB","Kansas City Chiefs","RB61","197.1","199.6","2.5"
"Derek Carr","QB","New Orleans Saints","QB28","198.2","201.3","3.1"
"Dameon Pierce","RB","Houston Texans","RB62","199.8","199.0","-0.8"
