"Player","Team","POS","RUSHATT","RUSHYDS","RUSHTDS","REC","RECYDS","RECTDS","FL","FPTS"
"Racey McMath","DAL","WR203","0.0","0.0","0.0","3.4","42.7","0.4","0.0","9.8"
"DeeJay Dallas","ARI","RB135","4.9","33.0","0.1","3.5","24.1","0.0","0.0","9.7"
"Reggie Gilliam","BUF","RB136","0.0","0.0","0.0","4.5","33.6","0.3","0.0","9.5"
"Avery Williams","ATL","RB137","4.4","18.4","0.2","3.3","22.3","0.2","0.0","9.4"
"Travis Homer","CHI","RB138","3.1","27.3","0.0","3.4","24.4","0.1","0.0","9.4"
"River Cracraft","MIA","WR204","0.0","0.0","0.0","3.7","42.1","0.2","0.0","9.3"
"Sione Vaki","DET","RB139","8.5","35.5","0.3","2.1","14.8","0.1","0.0","9.3"
"Kenny Yeboah","NYJ","TE115","0.0","0.0","0.0","3.8","36.3","0.3","0.0","9.1"
"Darrynton Evans","BUF","RB140","5.1","20.8","0.1","3.1","23.0","0.2","0.0","9.1"
"Dareke Young","SEA","WR205","0.0","0.0","0.0","3.4","39.8","0.3","0.0","8.9"
"Easop Winston Jr.","SEA","WR206","0.0","0.0","0.0","3.4","39.5","0.3","0.0","8.9"
"Grant Calcaterra","PHI","TE116","0.0","0.0","0.0","3.7","36.3","0.3","0.0","8.8"
"Denzel Mims","JAC","WR207","0.0","0.0","0.0","3.4","39.8","0.2","0.0","8.6"
"Dax Milne","WAS","WR208","0.0","0.0","0.0","3.4","39.5","0.2","0.0","8.4"
"Mitchell Wilcox","NE","TE117","0.0","0.0","0.0","3.6","35.0","0.2","0.0","8.1"
"Adam Prentice","NO","RB141","3.3","14.1","0.1","3.3","22.9","0.1","0.0","8.1"
"Ihmir Smith-Marsette","CAR","WR209","2.1","14.1","0.1","2.4","28.6","0.1","0.1","8.1"
"Jaelon Darden","CLE","WR210","0.0","0.0","0.0","3.2","37.1","0.2","0.0","8.1"
"James Proche II","CLE","WR211","0.0","0.0","0.0","3.2","36.9","0.2","0.0","7.9"
"Nick Vannett","TEN","TE118","0.0","0.0","0.0","3.4","34.8","0.2","0.0","7.9"
"Miles Boykin","NYG","WR212","0.0","0.0","0.0","3.3","35.9","0.2","0.0","7.9"
"Cam Akers","HOU","RB142","4.5","17.8","0.2","2.2","17.6","0.2","0.0","7.8"
"Lil'Jordan Humphrey","DEN","WR213","0.0","0.0","0.0","3.0","36.5","0.2","0.0","7.7"
"Charlie Kolar","BAL","TE119","0.0","0.0","0.0","3.4","34.6","0.1","0.0","7.3"
"David Sills","DEN","WR214","0.0","0.0","0.0","3.0","32.8","0.2","0.0","7.3"
"Keilan Robinson","JAC","RB143","0.0","33.0","0.0","2.0","15.0","0.0","0.0","6.8"
"Emanuel Wilson","GB","RB144","2.2","26.0","0.0","2.1","15.4","0.1","0.0","6.7"
"Jashaun Corbin","NYG","RB145","4.3","17.5","0.2","2.0","12.4","0.0","0.0","6.0"
"Hassan Haskins","TEN","RB146","2.4","27.7","0.0","1.9","12.3","0.0","0.0","5.9"
